Created as New Dataset,Sample 003 By Administrator Date Thursday, December 10 2020
cm-1,%T
3327.00,49.88
3326.00,49.88
3325.00,49.89
3324.00,49.90
3323.00,49.92
3322.00,49.93
3321.00,49.94
3320.00,49.94
3319.00,49.93
3318.00,49.92
3317.00,49.88
3316.00,49.83
3315.00,49.77
3314.00,49.73
3313.00,49.73
3312.00,49.76
3311.00,49.80
3310.00,49.83
3309.00,49.85
3308.00,49.88
3307.00,49.91
3306.00,49.95
3305.00,49.99
3304.00,50.01
3303.00,50.01
3302.00,50.00
3301.00,49.98
3300.00,49.96
3299.00,49.93
3298.00,49.92
3297.00,49.92
3296.00,49.96
3295.00,49.98
3294.00,49.99
3293.00,49.98
3292.00,49.97
3291.00,49.97
3290.00,50.00
3289.00,50.03
3288.00,50.05
3287.00,50.07
3286.00,50.07
3285.00,50.08
3284.00,50.09
3283.00,50.09
3282.00,50.07
3281.00,50.04
3280.00,50.01
3279.00,49.98
3278.00,49.96
3277.00,49.95
3276.00,49.95
3275.00,49.95
3274.00,49.95
3273.00,49.95
3272.00,49.97
3271.00,50.01
3270.00,50.05
3269.00,50.07
3268.00,50.07
3267.00,50.06
3266.00,50.07
3265.00,50.09
3264.00,50.11
3263.00,50.12
3262.00,50.10
3261.00,50.10
3260.00,50.11
3259.00,50.12
3258.00,50.12
3257.00,50.11
3256.00,50.09
3255.00,50.07
3254.00,50.05
3253.00,50.06
3252.00,50.12
3251.00,50.21
3250.00,50.29
3249.00,50.35
3248.00,50.38
3247.00,50.40
3246.00,50.43
3245.00,50.47
3244.00,50.52
3243.00,50.56
3242.00,50.61
3241.00,50.65
3240.00,50.69
3239.00,50.71
3238.00,50.72
3237.00,50.72
3236.00,50.73
3235.00,50.74
3234.00,50.75
3233.00,50.76
3232.00,50.79
3231.00,50.84
3230.00,50.92
3229.00,51.02
3228.00,51.11
3227.00,51.20
3226.00,51.28
3225.00,51.36
3224.00,51.43
3223.00,51.49
3222.00,51.53
3221.00,51.57
3220.00,51.62
3219.00,51.69
3218.00,51.78
3217.00,51.86
3216.00,51.94
3215.00,51.99
3214.00,52.06
3213.00,52.14
3212.00,52.25
3211.00,52.36
3210.00,52.43
3209.00,52.49
3208.00,52.55
3207.00,52.64
3206.00,52.74
3205.00,52.85
3204.00,52.94
3203.00,53.03
3202.00,53.11
3201.00,53.19
3200.00,53.28
3199.00,53.37
3198.00,53.47
3197.00,53.60
3196.00,53.75
3195.00,53.91
3194.00,54.06
3193.00,54.19
3192.00,54.30
3191.00,54.39
3190.00,54.48
3189.00,54.59
3188.00,54.74
3187.00,54.89
3186.00,55.05
3185.00,55.19
3184.00,55.33
3183.00,55.46
3182.00,55.59
3181.00,55.71
3180.00,55.85
3179.00,56.00
3178.00,56.14
3177.00,56.26
3176.00,56.37
3175.00,56.48
3174.00,56.61
3173.00,56.78
3172.00,56.96
3171.00,57.14
3170.00,57.30
3169.00,57.46
3168.00,57.61
3167.00,57.75
3166.00,57.89
3165.00,58.04
3164.00,58.19
3163.00,58.34
3162.00,58.47
3161.00,58.58
3160.00,58.71
3159.00,58.86
3158.00,59.04
3157.00,59.23
3156.00,59.42
3155.00,59.58
3154.00,59.72
3153.00,59.88
3152.00,60.07
3151.00,60.28
3150.00,60.47
3149.00,60.63
3148.00,60.76
3147.00,60.89
3146.00,61.05
3145.00,61.24
3144.00,61.45
3143.00,61.65
3142.00,61.83
3141.00,62.01
3140.00,62.18
3139.00,62.35
3138.00,62.50
3137.00,62.65
3136.00,62.80
3135.00,62.96
3134.00,63.12
3133.00,63.25
3132.00,63.37
3131.00,63.51
3130.00,63.69
3129.00,63.89
3128.00,64.09
3127.00,64.28
3126.00,64.47
3125.00,64.68
3124.00,64.88
3123.00,65.07
3122.00,65.24
3121.00,65.38
3120.00,65.53
3119.00,65.67
3118.00,65.83
3117.00,65.99
3116.00,66.13
3115.00,66.26
3114.00,66.38
3113.00,66.52
3112.00,66.69
3111.00,66.88
3110.00,67.09
3109.00,67.31
3108.00,67.52
3107.00,67.70
3106.00,67.85
3105.00,68.00
3104.00,68.14
3103.00,68.29
3102.00,68.47
3101.00,68.65
3100.00,68.83
3099.00,68.98
3098.00,69.13
3097.00,69.29
3096.00,69.48
3095.00,69.65
3094.00,69.80
3093.00,69.93
3092.00,70.08
3091.00,70.23
3090.00,70.39
3089.00,70.52
3088.00,70.65
3087.00,70.79
3086.00,70.95
3085.00,71.13
3084.00,71.30
3083.00,71.45
3082.00,71.58
3081.00,71.70
3080.00,71.84
3079.00,72.02
3078.00,72.20
3077.00,72.38
3076.00,72.53
3075.00,72.67
3074.00,72.81
3073.00,72.94
3072.00,73.07
3071.00,73.19
3070.00,73.33
3069.00,73.48
3068.00,73.65
3067.00,73.81
3066.00,73.96
3065.00,74.08
3064.00,74.20
3063.00,74.36
3062.00,74.55
3061.00,74.75
3060.00,74.92
3059.00,75.05
3058.00,75.16
3057.00,75.26
3056.00,75.39
3055.00,75.55
3054.00,75.70
3053.00,75.85
3052.00,75.98
3051.00,76.11
3050.00,76.22
3049.00,76.34
3048.00,76.46
3047.00,76.60
3046.00,76.75
3045.00,76.88
3044.00,77.02
3043.00,77.15
3042.00,77.29
3041.00,77.42
3040.00,77.53
3039.00,77.62
3038.00,77.73
3037.00,77.86
3036.00,78.01
3035.00,78.15
3034.00,78.29
3033.00,78.42
3032.00,78.56
3031.00,78.69
3030.00,78.80
3029.00,78.88
3028.00,78.97
3027.00,79.09
3026.00,79.23
3025.00,79.38
3024.00,79.51
3023.00,79.63
3022.00,79.74
3021.00,79.82
3020.00,79.89
3019.00,79.98
3018.00,80.10
3017.00,80.26
3016.00,80.41
3015.00,80.55
3014.00,80.66
3013.00,80.75
3012.00,80.84
3011.00,80.93
3010.00,81.00
3009.00,81.08
3008.00,81.15
3007.00,81.23
3006.00,81.31
3005.00,81.41
3004.00,81.52
3003.00,81.65
3002.00,81.79
3001.00,81.94
3000.00,82.07
2999.00,82.18
2998.00,82.25
2997.00,82.32
2996.00,82.39
2995.00,82.47
2994.00,82.54
2993.00,82.63
2992.00,82.73
2991.00,82.85
2990.00,82.96
2989.00,83.06
2988.00,83.14
2987.00,83.19
2986.00,83.24
2985.00,83.29
2984.00,83.34
2983.00,83.41
2982.00,83.50
2981.00,83.60
2980.00,83.70
2979.00,83.79
2978.00,83.87
2977.00,83.93
2976.00,83.99
2975.00,84.05
2974.00,84.12
2973.00,84.18
2972.00,84.26
2971.00,84.36
2970.00,84.47
2969.00,84.57
2968.00,84.64
2967.00,84.68
2966.00,84.70
2965.00,84.74
2964.00,84.80
2963.00,84.89
2962.00,84.98
2961.00,85.07
2960.00,85.15
2959.00,85.23
2958.00,85.30
2957.00,85.36
2956.00,85.42
2955.00,85.47
2954.00,85.53
2953.00,85.59
2952.00,85.66
2951.00,85.73
2950.00,85.80
2949.00,85.86
2948.00,85.93
2947.00,86.02
2946.00,86.11
2945.00,86.18
2944.00,86.24
2943.00,86.29
2942.00,86.34
2941.00,86.39
2940.00,86.44
2939.00,86.49
2938.00,86.54
2937.00,86.61
2936.00,86.68
2935.00,86.74
2934.00,86.77
2933.00,86.78
2932.00,86.78
2931.00,86.80
2930.00,86.85
2929.00,86.93
2928.00,87.01
2927.00,87.07
2926.00,87.11
2925.00,87.15
2924.00,87.20
2923.00,87.27
2922.00,87.33
2921.00,87.38
2920.00,87.43
2919.00,87.48
2918.00,87.53
2917.00,87.58
2916.00,87.62
2915.00,87.67
2914.00,87.72
2913.00,87.77
2912.00,87.81
2911.00,87.87
