Created as New Dataset,Sample 000 By Administrator Date Thursday, December 10 2020
cm-1,%T
2723.00,92.86
2722.00,92.83
2721.00,92.80
2720.00,92.79
2719.00,92.80
2718.00,92.83
2717.00,92.88
2716.00,92.92
2715.00,92.95
2714.00,92.94
2713.00,92.92
2712.00,92.90
2711.00,92.90
2710.00,92.91
2709.00,92.93
2708.00,92.93
2707.00,92.93
2706.00,92.93
2705.00,92.95
2704.00,92.98
2703.00,93.02
2702.00,93.04
2701.00,93.05
2700.00,93.04
2699.00,93.03
2698.00,93.01
2697.00,93.00
2696.00,93.01
2695.00,93.05
2694.00,93.08
2693.00,93.08
2692.00,93.07
2691.00,93.05
2690.00,93.05
2689.00,93.05
2688.00,93.05
2687.00,93.05
2686.00,93.06
2685.00,93.07
2684.00,93.09
2683.00,93.11
2682.00,93.14
2681.00,93.15
2680.00,93.15
2679.00,93.15
2678.00,93.14
2677.00,93.13
2676.00,93.11
2675.00,93.10
2674.00,93.11
2673.00,93.13
2672.00,93.15
2671.00,93.17
2670.00,93.17
2669.00,93.16
2668.00,93.14
2667.00,93.12
2666.00,93.10
2665.00,93.10
2664.00,93.11
2663.00,93.12
2662.00,93.13
2661.00,93.13
2660.00,93.14
2659.00,93.15
2658.00,93.15
2657.00,93.12
2656.00,93.08
2655.00,93.05
2654.00,93.03
2653.00,93.04
2652.00,93.07
2651.00,93.12
2650.00,93.16
2649.00,93.17
2648.00,93.17
2647.00,93.16
2646.00,93.16
2645.00,93.18
2644.00,93.19
2643.00,93.20
2642.00,93.20
2641.00,93.18
2640.00,93.16
2639.00,93.14
2638.00,93.14
2637.00,93.15
2636.00,93.16
2635.00,93.16
2634.00,93.15
2633.00,93.12
2632.00,93.10
2631.00,93.11
2630.00,93.15
2629.00,93.18
2628.00,93.18
2627.00,93.15
2626.00,93.11
2625.00,93.08
2624.00,93.07
2623.00,93.10
2622.00,93.14
2621.00,93.18
2620.00,93.18
2619.00,93.16
2618.00,93.13
2617.00,93.12
2616.00,93.15
2615.00,93.20
2614.00,93.25
2613.00,93.28
2612.00,93.28
2611.00,93.26
2610.00,93.24
2609.00,93.22
2608.00,93.19
2607.00,93.16
2606.00,93.14
2605.00,93.13
2604.00,93.14
2603.00,93.15
2602.00,93.16
2601.00,93.16
2600.00,93.13
2599.00,93.09
2598.00,93.07
2597.00,93.10
2596.00,93.16
2595.00,93.22
2594.00,93.27
2593.00,93.27
2592.00,93.24
2591.00,93.21
2590.00,93.19
2589.00,93.19
2588.00,93.18
2587.00,93.14
2586.00,93.09
2585.00,93.04
2584.00,93.04
2583.00,93.09
2582.00,93.16
2581.00,93.20
2580.00,93.20
2579.00,93.17
2578.00,93.13
2577.00,93.10
2576.00,93.10
2575.00,93.12
2574.00,93.15
2573.00,93.18
2572.00,93.19
2571.00,93.17
2570.00,93.15
2569.00,93.14
2568.00,93.16
2567.00,93.19
2566.00,93.21
2565.00,93.21
2564.00,93.20
2563.00,93.20
2562.00,93.20
2561.00,93.18
2560.00,93.16
2559.00,93.14
2558.00,93.13
2557.00,93.12
2556.00,93.10
2555.00,93.07
2554.00,93.05
2553.00,93.04
2552.00,93.03
2551.00,93.04
2550.00,93.06
2549.00,93.06
2548.00,93.06
2547.00,93.06
2546.00,93.07
2545.00,93.07
2544.00,93.06
2543.00,93.03
2542.00,93.04
2541.00,93.06
2540.00,93.09
2539.00,93.10
2538.00,93.09
2537.00,93.07
2536.00,93.04
2535.00,93.03
2534.00,93.03
2533.00,93.03
2532.00,93.03
2531.00,93.04
2530.00,93.06
2529.00,93.06
2528.00,93.06
2527.00,93.04
2526.00,93.03
2525.00,93.02
2524.00,92.99
2523.00,92.96
2522.00,92.94
2521.00,92.95
2520.00,92.99
2519.00,93.05
2518.00,93.10
2517.00,93.12
2516.00,93.11
2515.00,93.09
2514.00,93.07
2513.00,93.07
2512.00,93.09
2511.00,93.11
2510.00,93.11
2509.00,93.10
2508.00,93.07
2507.00,93.05
2506.00,93.04
2505.00,93.03
2504.00,93.04
2503.00,93.05
2502.00,93.06
2501.00,93.05
2500.00,93.01
2499.00,92.97
2498.00,92.96
2497.00,92.97
2496.00,92.94
2495.00,92.89
2494.00,92.85
2493.00,92.86
2492.00,92.92
2491.00,92.99
2490.00,93.02
2489.00,93.00
2488.00,92.97
2487.00,92.96
2486.00,92.97
2485.00,92.98
2484.00,92.97
2483.00,92.95
2482.00,92.93
2481.00,92.93
2480.00,92.93
2479.00,92.95
2478.00,92.97
2477.00,92.98
2476.00,92.98
2475.00,92.96
2474.00,92.93
2473.00,92.90
2472.00,92.88
2471.00,92.89
2470.00,92.90
2469.00,92.92
2468.00,92.91
2467.00,92.89
2466.00,92.86
2465.00,92.83
