Created as New Dataset,Sample 002 By Administrator Date Tuesday, December 15 2020
cm-1,%T
3367.00,51.64
3366.00,51.66
3365.00,51.67
3364.00,51.65
3363.00,51.62
3362.00,51.58
3361.00,51.57
3360.00,51.58
3359.00,51.57
3358.00,51.54
3357.00,51.46
3356.00,51.38
3355.00,51.33
3354.00,51.33
3353.00,51.35
3352.00,51.39
3351.00,51.41
3350.00,51.41
3349.00,51.36
3348.00,51.29
3347.00,51.23
3346.00,51.20
3345.00,51.20
3344.00,51.21
3343.00,51.20
3342.00,51.18
3341.00,51.15
3340.00,51.13
3339.00,51.11
3338.00,51.10
3337.00,51.09
3336.00,51.06
3335.00,51.04
3334.00,51.04
3333.00,51.09
3332.00,51.14
3331.00,51.16
3330.00,51.15
3329.00,51.10
3328.00,51.05
3327.00,51.00
3326.00,50.96
3325.00,50.93
3324.00,50.88
3323.00,50.84
3322.00,50.83
3321.00,50.89
3320.00,50.97
3319.00,51.02
3318.00,51.01
3317.00,50.96
3316.00,50.89
3315.00,50.84
3314.00,50.80
3313.00,50.77
3312.00,50.73
3311.00,50.70
3310.00,50.68
3309.00,50.67
3308.00,50.64
3307.00,50.62
3306.00,50.60
3305.00,50.58
3304.00,50.57
3303.00,50.58
3302.00,50.61
3301.00,50.67
3300.00,50.72
3299.00,50.72
3298.00,50.70
3297.00,50.67
3296.00,50.66
3295.00,50.65
3294.00,50.62
3293.00,50.58
3292.00,50.52
3291.00,50.46
3290.00,50.42
3289.00,50.40
3288.00,50.38
3287.00,50.36
3286.00,50.36
3285.00,50.37
3284.00,50.39
3283.00,50.38
3282.00,50.34
3281.00,50.29
3280.00,50.26
3279.00,50.27
3278.00,50.30
3277.00,50.34
3276.00,50.38
3275.00,50.43
3274.00,50.49
3273.00,50.55
3272.00,50.59
3271.00,50.60
3270.00,50.59
3269.00,50.56
3268.00,50.50
3267.00,50.43
3266.00,50.40
3265.00,50.44
3264.00,50.54
3263.00,50.63
3262.00,50.67
3261.00,50.67
3260.00,50.66
3259.00,50.66
3258.00,50.67
3257.00,50.68
3256.00,50.70
3255.00,50.73
3254.00,50.76
3253.00,50.80
3252.00,50.83
3251.00,50.84
3250.00,50.83
3249.00,50.80
3248.00,50.76
3247.00,50.74
3246.00,50.77
3245.00,50.85
3244.00,50.97
3243.00,51.06
3242.00,51.11
3241.00,51.12
3240.00,51.14
3239.00,51.19
3238.00,51.24
3237.00,51.29
3236.00,51.35
3235.00,51.40
3234.00,51.44
3233.00,51.46
3232.00,51.47
3231.00,51.49
3230.00,51.54
3229.00,51.60
3228.00,51.67
3227.00,51.72
3226.00,51.78
3225.00,51.86
3224.00,51.95
3223.00,52.04
3222.00,52.12
3221.00,52.19
3220.00,52.25
3219.00,52.31
3218.00,52.37
3217.00,52.47
3216.00,52.59
3215.00,52.69
3214.00,52.76
3213.00,52.79
3212.00,52.82
3211.00,52.89
3210.00,52.99
3209.00,53.11
3208.00,53.23
3207.00,53.34
3206.00,53.46
3205.00,53.56
3204.00,53.64
3203.00,53.72
3202.00,53.80
3201.00,53.86
3200.00,53.93
3199.00,54.02
3198.00,54.15
3197.00,54.30
3196.00,54.44
3195.00,54.55
3194.00,54.64
3193.00,54.74
3192.00,54.85
3191.00,54.96
3190.00,55.07
3189.00,55.19
3188.00,55.34
3187.00,55.49
3186.00,55.65
3185.00,55.80
3184.00,55.94
3183.00,56.08
3182.00,56.24
3181.00,56.42
3180.00,56.62
3179.00,56.81
3178.00,56.96
3177.00,57.05
3176.00,57.09
3175.00,57.13
3174.00,57.22
3173.00,57.37
3172.00,57.56
3171.00,57.73
3170.00,57.88
3169.00,58.02
3168.00,58.17
3167.00,58.34
3166.00,58.50
3165.00,58.66
3164.00,58.80
3163.00,58.96
3162.00,59.16
3161.00,59.38
3160.00,59.61
3159.00,59.81
3158.00,59.96
3157.00,60.08
3156.00,60.22
3155.00,60.38
3154.00,60.55
3153.00,60.69
3152.00,60.82
3151.00,60.96
3150.00,61.12
3149.00,61.28
3148.00,61.43
3147.00,61.55
3146.00,61.70
3145.00,61.90
3144.00,62.13
3143.00,62.35
3142.00,62.52
3141.00,62.68
3140.00,62.84
3139.00,63.03
3138.00,63.23
3137.00,63.38
3136.00,63.47
3135.00,63.53
3134.00,63.61
3133.00,63.77
3132.00,64.00
3131.00,64.24
3130.00,64.46
3129.00,64.62
3128.00,64.73
3127.00,64.82
3126.00,64.93
3125.00,65.07
3124.00,65.24
3123.00,65.42
3122.00,65.58
3121.00,65.72
3120.00,65.86
3119.00,65.99
3118.00,66.15
3117.00,66.35
3116.00,66.58
3115.00,66.79
3114.00,66.96
3113.00,67.08
3112.00,67.17
3111.00,67.26
3110.00,67.37
3109.00,67.52
3108.00,67.68
3107.00,67.86
3106.00,68.04
3105.00,68.21
3104.00,68.36
3103.00,68.50
3102.00,68.63
3101.00,68.77
3100.00,68.91
3099.00,69.04
3098.00,69.17
3097.00,69.31
3096.00,69.48
3095.00,69.65
3094.00,69.82
3093.00,69.95
3092.00,70.04
3091.00,70.11
3090.00,70.18
3089.00,70.28
3088.00,70.42
3087.00,70.61
3086.00,70.79
3085.00,70.95
3084.00,71.08
3083.00,71.22
3082.00,71.37
3081.00,71.51
3080.00,71.62
3079.00,71.68
3078.00,71.72
3077.00,71.79
3076.00,71.92
3075.00,72.11
3074.00,72.30
3073.00,72.43
3072.00,72.52
3071.00,72.60
3070.00,72.71
3069.00,72.87
3068.00,73.04
3067.00,73.18
3066.00,73.28
3065.00,73.37
3064.00,73.48
3063.00,73.62
3062.00,73.79
3061.00,73.96
3060.00,74.09
3059.00,74.20
3058.00,74.30
3057.00,74.42
3056.00,74.56
3055.00,74.73
