Created as New Dataset,Sample 000 By Administrator Date Tuesday, December 15 2020
cm-1,%T
3345.00,49.27
3344.00,49.22
3343.00,49.15
3342.00,49.09
3341.00,49.07
3340.00,49.10
3339.00,49.15
3338.00,49.20
3337.00,49.23
3336.00,49.22
3335.00,49.21
3334.00,49.18
3333.00,49.15
3332.00,49.14
3331.00,49.14
3330.00,49.16
3329.00,49.16
3328.00,49.14
3327.00,49.10
3326.00,49.04
3325.00,49.01
3324.00,48.99
3323.00,49.00
3322.00,49.01
3321.00,49.02
3320.00,49.01
3319.00,48.98
3318.00,48.92
3317.00,48.85
3316.00,48.80
3315.00,48.80
3314.00,48.85
3313.00,48.90
3312.00,48.92
3311.00,48.90
3310.00,48.86
3309.00,48.85
3308.00,48.87
3307.00,48.91
3306.00,48.96
3305.00,49.00
3304.00,49.01
3303.00,48.98
3302.00,48.95
3301.00,48.95
3300.00,48.99
3299.00,49.05
3298.00,49.11
3297.00,49.16
3296.00,49.19
3295.00,49.22
3294.00,49.24
3293.00,49.25
3292.00,49.25
3291.00,49.23
3290.00,49.19
3289.00,49.13
3288.00,49.07
3287.00,49.03
3286.00,49.01
3285.00,49.03
3284.00,49.06
3283.00,49.06
3282.00,49.05
3281.00,49.03
3280.00,49.03
3279.00,49.03
3278.00,49.02
3277.00,49.00
3276.00,48.98
3275.00,49.00
3274.00,49.04
3273.00,49.11
3272.00,49.15
3271.00,49.17
3270.00,49.17
3269.00,49.15
3268.00,49.11
3267.00,49.06
3266.00,49.05
3265.00,49.09
3264.00,49.15
3263.00,49.20
3262.00,49.24
3261.00,49.27
3260.00,49.30
3259.00,49.31
3258.00,49.31
3257.00,49.33
3256.00,49.39
3255.00,49.48
3254.00,49.54
3253.00,49.57
3252.00,49.59
3251.00,49.61
3250.00,49.65
3249.00,49.67
3248.00,49.67
3247.00,49.63
3246.00,49.59
3245.00,49.58
3244.00,49.60
3243.00,49.63
3242.00,49.66
3241.00,49.69
3240.00,49.74
3239.00,49.80
3238.00,49.87
3237.00,49.95
3236.00,50.02
3235.00,50.09
3234.00,50.15
3233.00,50.20
3232.00,50.22
3231.00,50.22
3230.00,50.18
3229.00,50.16
3228.00,50.19
3227.00,50.26
3226.00,50.35
3225.00,50.44
3224.00,50.52
3223.00,50.58
3222.00,50.63
3221.00,50.69
3220.00,50.73
3219.00,50.77
3218.00,50.81
3217.00,50.85
3216.00,50.90
3215.00,50.96
3214.00,51.06
3213.00,51.21
3212.00,51.37
3211.00,51.54
3210.00,51.68
3209.00,51.79
3208.00,51.86
3207.00,51.89
3206.00,51.91
3205.00,51.93
3204.00,51.98
3203.00,52.07
3202.00,52.20
3201.00,52.35
3200.00,52.51
3199.00,52.65
3198.00,52.78
3197.00,52.90
3196.00,53.02
3195.00,53.14
3194.00,53.26
3193.00,53.39
3192.00,53.53
3191.00,53.67
3190.00,53.80
3189.00,53.94
3188.00,54.10
3187.00,54.29
3186.00,54.46
3185.00,54.59
3184.00,54.70
3183.00,54.82
3182.00,54.97
3181.00,55.14
3180.00,55.29
3179.00,55.41
3178.00,55.50
3177.00,55.61
3176.00,55.74
3175.00,55.88
3174.00,56.04
3173.00,56.21
3172.00,56.40
3171.00,56.61
3170.00,56.81
3169.00,57.00
3168.00,57.17
3167.00,57.35
3166.00,57.53
3165.00,57.68
3164.00,57.81
3163.00,57.93
3162.00,58.07
3161.00,58.26
3160.00,58.47
3159.00,58.68
3158.00,58.86
3157.00,59.02
3156.00,59.17
3155.00,59.34
3154.00,59.52
3153.00,59.71
3152.00,59.86
3151.00,59.98
3150.00,60.10
3149.00,60.25
3148.00,60.45
3147.00,60.68
3146.00,60.93
3145.00,61.17
3144.00,61.36
3143.00,61.51
3142.00,61.65
3141.00,61.82
3140.00,62.02
3139.00,62.22
3138.00,62.43
3137.00,62.64
3136.00,62.82
3135.00,62.98
3134.00,63.10
3133.00,63.26
3132.00,63.47
3131.00,63.73
3130.00,63.99
3129.00,64.21
3128.00,64.36
3127.00,64.48
3126.00,64.62
3125.00,64.78
3124.00,64.96
3123.00,65.13
3122.00,65.30
3121.00,65.49
3120.00,65.70
3119.00,65.91
3118.00,66.13
3117.00,66.34
3116.00,66.53
3115.00,66.69
3114.00,66.84
3113.00,67.01
3112.00,67.20
3111.00,67.41
3110.00,67.60
3109.00,67.75
3108.00,67.88
3107.00,68.03
3106.00,68.24
3105.00,68.48
3104.00,68.75
3103.00,69.00
3102.00,69.22
3101.00,69.39
3100.00,69.51
3099.00,69.61
3098.00,69.72
3097.00,69.87
3096.00,70.06
3095.00,70.28
3094.00,70.49
3093.00,70.67
3092.00,70.83
3091.00,70.96
3090.00,71.09
3089.00,71.24
3088.00,71.42
3087.00,71.63
3086.00,71.87
3085.00,72.12
3084.00,72.37
3083.00,72.57
3082.00,72.73
3081.00,72.86
3080.00,72.98
3079.00,73.11
3078.00,73.25
3077.00,73.42
3076.00,73.59
3075.00,73.75
3074.00,73.90
3073.00,74.03
3072.00,74.17
3071.00,74.31
3070.00,74.49
3069.00,74.68
3068.00,74.89
3067.00,75.09
3066.00,75.29
3065.00,75.49
3064.00,75.67
3063.00,75.82
3062.00,75.91
3061.00,75.97
3060.00,76.04
3059.00,76.14
3058.00,76.27
3057.00,76.44
3056.00,76.64
3055.00,76.84
3054.00,77.03
3053.00,77.17
3052.00,77.27
3051.00,77.35
3050.00,77.45
3049.00,77.58
3048.00,77.74
3047.00,77.88
3046.00,78.01
3045.00,78.12
3044.00,78.25
3043.00,78.42
3042.00,78.63
3041.00,78.85
3040.00,79.04
3039.00,79.20
3038.00,79.34
3037.00,79.48
3036.00,79.61
3035.00,79.72
3034.00,79.81
3033.00,79.89
3032.00,79.98
3031.00,80.10
3030.00,80.22
3029.00,80.34
3028.00,80.44
3027.00,80.54
3026.00,80.64
3025.00,80.75
3024.00,80.87
3023.00,81.00
3022.00,81.13
3021.00,81.26
3020.00,81.38
3019.00,81.52
3018.00,81.65
3017.00,81.78
3016.00,81.90
3015.00,82.00
3014.00,82.10
3013.00,82.18
3012.00,82.25
3011.00,82.34
3010.00,82.45
3009.00,82.59
3008.00,82.74
3007.00,82.89
3006.00,83.03
3005.00,83.15
3004.00,83.25
3003.00,83.32
3002.00,83.39
3001.00,83.46
3000.00,83.54
2999.00,83.63
2998.00,83.71
2997.00,83.80
2996.00,83.90
2995.00,84.01
2994.00,84.13
2993.00,84.27
2992.00,84.41
2991.00,84.55
2990.00,84.68
2989.00,84.79
2988.00,84.88
2987.00,84.95
2986.00,85.01
2985.00,85.05
2984.00,85.08
2983.00,85.12
2982.00,85.19
2981.00,85.26
2980.00,85.33
2979.00,85.40
2978.00,85.49
2977.00,85.62
2976.00,85.77
2975.00,85.92
2974.00,86.03
2973.00,86.12
2972.00,86.19
2971.00,86.26
2970.00,86.33
2969.00,86.39
2968.00,86.43
2967.00,86.49
2966.00,86.57
2965.00,86.67
2964.00,86.76
2963.00,86.82
2962.00,86.85
2961.00,86.88
2960.00,86.95
2959.00,87.07
2958.00,87.21
2957.00,87.34
2956.00,87.43
2955.00,87.50
2954.00,87.56
2953.00,87.61
2952.00,87.64
2951.00,87.66
2950.00,87.68
2949.00,87.72
2948.00,87.80
2947.00,87.91
2946.00,88.01
2945.00,88.09
2944.00,88.14
2943.00,88.15
2942.00,88.15
2941.00,88.18
2940.00,88.25
2939.00,88.35
2938.00,88.45
2937.00,88.54
2936.00,88.61
2935.00,88.68
2934.00,88.74
2933.00,88.80
2932.00,88.86
2931.00,88.90
2930.00,88.94
2929.00,88.98
2928.00,89.04
2927.00,89.10
2926.00,89.16
2925.00,89.21
2924.00,89.27
2923.00,89.35
2922.00,89.42
2921.00,89.46
2920.00,89.45
2919.00,89.42
2918.00,89.40
2917.00,89.44
2916.00,89.51
2915.00,89.61
2914.00,89.70
2913.00,89.77
2912.00,89.83
2911.00,89.89
2910.00,89.96
2909.00,90.02
2908.00,90.07
2907.00,90.09
2906.00,90.10
2905.00,90.12
2904.00,90.16
2903.00,90.20
2902.00,90.23
2901.00,90.26
2900.00,90.30
2899.00,90.35
2898.00,90.40
2897.00,90.44
2896.00,90.47
2895.00,90.51
2894.00,90.56
2893.00,90.61
2892.00,90.64
2891.00,90.66
2890.00,90.68
2889.00,90.73
2888.00,90.82
2887.00,90.91
2886.00,90.95
2885.00,90.95
2884.00,90.93
2883.00,90.96
2882.00,91.02
2881.00,91.08
2880.00,91.11
2879.00,91.11
2878.00,91.11
2877.00,91.11
2876.00,91.13
2875.00,91.16
2874.00,91.21
2873.00,91.26
2872.00,91.31
2871.00,91.36
2870.00,91.41
2869.00,91.47
2868.00,91.52
2867.00,91.55
2866.00,91.59
2865.00,91.62
2864.00,91.67
2863.00,91.72
2862.00,91.78
2861.00,91.82
2860.00,91.82
2859.00,91.78
2858.00,91.73
2857.00,91.72
2856.00,91.75
2855.00,91.81
2854.00,91.88
2853.00,91.92
2852.00,91.94
2851.00,91.93
2850.00,91.91
2849.00,91.89
2848.00,91.91
2847.00,91.95
2846.00,91.99
2845.00,92.02
2844.00,92.04
2843.00,92.08
2842.00,92.10
2841.00,92.10
2840.00,92.09
2839.00,92.10
2838.00,92.13
2837.00,92.17
2836.00,92.22
2835.00,92.28
2834.00,92.33
2833.00,92.38
2832.00,92.43
2831.00,92.48
2830.00,92.53
2829.00,92.57
2828.00,92.59
2827.00,92.58
2826.00,92.56
2825.00,92.55
2824.00,92.54
2823.00,92.53
2822.00,92.51
2821.00,92.48
2820.00,92.48
2819.00,92.49
2818.00,92.54
2817.00,92.61
2816.00,92.69
2815.00,92.76
2814.00,92.81
2813.00,92.83
2812.00,92.83
2811.00,92.83
2810.00,92.82
2809.00,92.82
2808.00,92.82
2807.00,92.82
2806.00,92.84
2805.00,92.86
2804.00,92.89
2803.00,92.91
2802.00,92.91
2801.00,92.90
2800.00,92.90
2799.00,92.91
2798.00,92.93
2797.00,92.95
2796.00,92.98
2795.00,93.00
2794.00,93.01
2793.00,93.02
2792.00,93.05
2791.00,93.10
2790.00,93.16
2789.00,93.20
2788.00,93.20
2787.00,93.18
2786.00,93.15
2785.00,93.12
2784.00,93.11
2783.00,93.11
2782.00,93.12
2781.00,93.11
2780.00,93.08
2779.00,93.05
2778.00,93.03
2777.00,93.05
2776.00,93.12
2775.00,93.21
2774.00,93.30
2773.00,93.34
2772.00,93.35
2771.00,93.34
2770.00,93.35
2769.00,93.35
2768.00,93.35
2767.00,93.34
2766.00,93.34
2765.00,93.36
2764.00,93.40
2763.00,93.44
2762.00,93.49
2761.00,93.50
2760.00,93.50
2759.00,93.48
2758.00,93.48
2757.00,93.48
2756.00,93.49
2755.00,93.51
2754.00,93.51
2753.00,93.52
2752.00,93.52
2751.00,93.53
2750.00,93.56
2749.00,93.60
2748.00,93.61
2747.00,93.59
2746.00,93.57
2745.00,93.57
2744.00,93.58
2743.00,93.60
2742.00,93.62
2741.00,93.63
2740.00,93.62
2739.00,93.61
2738.00,93.61
2737.00,93.63
2736.00,93.67
2735.00,93.71
2734.00,93.73
2733.00,93.72
2732.00,93.69
2731.00,93.65
2730.00,93.62
2729.00,93.61
2728.00,93.60
2727.00,93.60
2726.00,93.63
2725.00,93.68
2724.00,93.72
2723.00,93.72
2722.00,93.68
2721.00,93.65
2720.00,93.65
2719.00,93.68
2718.00,93.73
2717.00,93.78
2716.00,93.83
2715.00,93.85
2714.00,93.83
2713.00,93.78
2712.00,93.73
2711.00,93.72
2710.00,93.73
2709.00,93.76
2708.00,93.80
2707.00,93.83
2706.00,93.83
2705.00,93.81
2704.00,93.79
2703.00,93.80
2702.00,93.81
2701.00,93.82
2700.00,93.81
2699.00,93.79
2698.00,93.79
2697.00,93.82
2696.00,93.88
2695.00,93.93
2694.00,93.94
2693.00,93.92
2692.00,93.89
2691.00,93.88
2690.00,93.88
2689.00,93.88
2688.00,93.88
2687.00,93.88
2686.00,93.87
2685.00,93.87
2684.00,93.86
2683.00,93.87
2682.00,93.86
2681.00,93.83
2680.00,93.79
2679.00,93.77
2678.00,93.80
2677.00,93.84
2676.00,93.88
2675.00,93.89
2674.00,93.88
2673.00,93.88
2672.00,93.89
2671.00,93.92
2670.00,93.93
2669.00,93.91
2668.00,93.87
2667.00,93.83
2666.00,93.81
2665.00,93.81
2664.00,93.82
2663.00,93.83
2662.00,93.85
2661.00,93.86
2660.00,93.88
2659.00,93.90
2658.00,93.92
2657.00,93.91
2656.00,93.87
2655.00,93.82
2654.00,93.80
2653.00,93.80
2652.00,93.83
2651.00,93.85
2650.00,93.87
2649.00,93.88
2648.00,93.86
2647.00,93.84
2646.00,93.81
2645.00,93.79
2644.00,93.78
2643.00,93.79
2642.00,93.81
2641.00,93.83
2640.00,93.83
2639.00,93.82
2638.00,93.81
2637.00,93.80
2636.00,93.81
2635.00,93.83
2634.00,93.85
2633.00,93.86
2632.00,93.86
2631.00,93.85
2630.00,93.86
2629.00,93.87
2628.00,93.88
2627.00,93.91
2626.00,93.96
2625.00,93.99
2624.00,93.99
2623.00,93.94
2622.00,93.84
2621.00,93.73
2620.00,93.64
2619.00,93.62
2618.00,93.66
2617.00,93.75
2616.00,93.83
2615.00,93.88
2614.00,93.90
2613.00,93.91
2612.00,93.91
2611.00,93.93
2610.00,93.94
2609.00,93.94
2608.00,93.92
2607.00,93.89
2606.00,93.89
2605.00,93.93
2604.00,93.99
2603.00,94.03
2602.00,94.03
2601.00,93.99
2600.00,93.92
2599.00,93.83
2598.00,93.75
2597.00,93.68
2596.00,93.66
2595.00,93.69
2594.00,93.75
2593.00,93.81
2592.00,93.83
2591.00,93.83
2590.00,93.83
2589.00,93.84
2588.00,93.87
2587.00,93.91
2586.00,93.94
2585.00,93.96
2584.00,93.95
2583.00,93.93
2582.00,93.88
